2015-11-12 20:56:38,041 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nathan/Documents/Northeastern/Current Semester/IS 4300 - Human Computer Interactions/MyNEUCrawler/NorthesternScheduleCrawler/src/main/resources
2015-11-12 20:56:38,042 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 20:56:38,043 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nathan/Documents/Northeastern/Current Semester/IS 4300 - Human Computer Interactions/MyNEUCrawler/NorthesternScheduleCrawler/src/test/resources
2015-11-12 21:04:01,277 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 21:04:01,277 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nathan/Documents/Northeastern/Current Semester/IS 4300 - Human Computer Interactions/MyNEUCrawler/NorthesternScheduleCrawler/src/main/resources
2015-11-12 21:04:01,279 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 21:04:01,279 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nathan/Documents/Northeastern/Current Semester/IS 4300 - Human Computer Interactions/MyNEUCrawler/NorthesternScheduleCrawler/src/test/resources
2015-11-12 21:04:08,693 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 21:04:08,693 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nathan/Documents/Northeastern/Current Semester/IS 4300 - Human Computer Interactions/MyNEUCrawler/NorthesternScheduleCrawler/src/main/resources
2015-11-12 21:04:08,694 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 21:04:08,695 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nathan/Documents/Northeastern/Current Semester/IS 4300 - Human Computer Interactions/MyNEUCrawler/NorthesternScheduleCrawler/src/test/resources
